hs6,product_label,years_present,avg_RSCA
660310,"Handles and knobs for umbrellas and sun umbrellas of heading 6601 or for walking-sticks, seat-sticks, ...",4,1.0
970190,Collages and similar decorative plaques,3,1.0
382711,"Mixtures containing chlorofluorocarbons ""CFCs"", whether or not containing hydrochlorofluorocarbons ...",3,1.0
690810,"Glazed ceramic tiles, mosaic cubes and similar articles, whether or not square or rectangular, ...",8,1.0
620213,"Women's or girls' overcoats, raincoats, car coats, capes, cloaks and similar articles, of man-made ...",3,1.0
292114,"2-(N,N-Diisopropylamino)ethylchloride hydrochloride",8,1.0
890310,Inflatable vessels for pleasure or sports,3,1.0
293142,Dimethyl propylphosphonate,3,1.0
701939,"Webs, mattresses, boards and similar nonwoven products, of glass fibres (excluding mats and ...",3,1.0
251622,"Sandstone, merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular ...",6,1.0
741999,"Articles of copper, n.e.s.",3,1.0
90930,Cumin seeds,10,1.0
440724,"Virola, mahogany ""Swietenia spp."", imbuia and balsa, sawn or chipped lengthwise, sliced or ...",5,1.0
940520,"Electric table, desk, bedside or floor-standing lamps",3,1.0
293132,Dimethyl propylphosphonate,4,1.0
570330,"Carpets and other floor coverings, of man-made textile materials, tufted ""needle punched"", ...",3,1.0
284450,"Spent ""irradiated"" fuel elements ""cartridges"" of nuclear reactors [Euratom]",10,1.0
460191,"Plaits and similar products of plaiting materials, whether or not assembled into strips; plaiting ...",5,1.0
120100,"Soya beans, whether or not broken",10,1.0
293143,Diethyl ethylphosphonate,3,1.0
60310,"Fresh cut flowers and flower buds, for bouquets or for ornamental purposes",7,1.0
911420,Jewels for clocks or watches (excluding gems for clock and watch cases),5,1.0
620119,"Men's or boys' overcoats, raincoats, car coats, capes, cloaks and similar articles, of textile ...",3,1.0
293355,"Loprazolam ""INN"", mecloqualone ""INN"", methaqualone ""INN"" and zipeprol ""INN"", and salts thereof",12,1.0
850530,Electro-magnetic lifting heads,5,1.0
530519,"Coconut ""coir"" fibres, processed but not spun; tow, noils and waste of such fibres, incl. yarn ...",5,1.0
401199,"Pneumatic tyres, new, of rubber (excluding having a ""herring-bone"" or similar tread and pneumatic ...",8,1.0
283800,"Fulminates, cyanates and thiocyanates",4,1.0
900912,"Electrostatic photocopying apparatus, operating by reproducing the original image via an intermediate ...",4,1.0
293335,3-Quinuclidinol,3,1.0
30788,"Smoked, dried, salted or in brine, even in shell, stromboid conchs ""Strombus spp.""",8,1.0
382478,"Mixtures containing perfluorocarbons ""PFCs"" or hydrofluorocarbons ""HFCs"", but not containing ...",3,1.0
292330,Tetraethylammonium perfluorooctane sulphonate,6,1.0
293943,"Cathine ""INN"" and its salts",12,1.0
410129,"Raw hides and skins of bovine animals, fresh or wet-salted, whether or not dehaired or split ...",3,1.0
482360,"Trays, dishes, plates, cups and the like, of paper or paperboard",5,1.0
441900,"Tableware and kitchenware, of wood (excluding interior fittings, ornaments, cooperage products, ...",8,1.0
610321,"Men's or boys' ensembles of wool or fine animal hair, knitted or crocheted (excluding ski ensembles ...",5,1.0
40700,"Birds' eggs, in shell, fresh, preserved or cooked",12,1.0
293963,Lysergic acid and its salts,11,1.0
150910,Virgin olive oil and its fractions obtained from the fruit of the olive tree solely by mechanical ...,3,1.0
290393,"Pentachlorobenzene ""ISO""",8,1.0
811213,Beryllium waste and scrap (excl. ashes and residues containing beryllium),10,1.0
292423,"2-Acetamidobenzoic acid ""N-acetylanthranilic acid"" and its salts",11,1.0
