hs6,partner_count,partners
090300,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
090411,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
090421,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
090422,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
090510,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
090611,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
090620,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
090710,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
090821,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
090831,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
090922,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
090931,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
090932,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
091011,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
091012,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
091020,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
091030,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
100199,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
100390,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
100829,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
110412,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
110422,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
110510,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
110520,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
110620,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
110710,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
110813,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
110814,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
110820,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
120190,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
120241,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
120242,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
120400,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
120510,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
120729,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
120740,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
120750,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
120770,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
120791,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
121020,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
121120,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
121221,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
